id,lat,lng,label,population,risk
313,46.1947,122.0083,Ulanhot,3271330,0.00016882165794570808
314,49.2086,119.8167,Hailar,851974,0.00016882165794570808
322,39.1244,117.3461,Tianjin,14241195,0.011226754209148258
325,29.7194,106.6419,Chongqing,16205267,0.1170508527881466
348,34.4478,108.7539,Xi'an,22353249,0.22104603234628176
355,40.5606,109.9964,Baotou,3343659,0.0480021058890996
368,43.5575,122.2,Tongliao,4930093,0.00030950890525065737
392,38.5419,102.3486,Jinchang,2050162,0.19358416662846548
429,40.8514,111.8242,Hohhot,4401373,0.407905342155982
484,42.16,118.8408,Chifeng,9056162,0.0003657827912325601
