id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.00020466932226000415
315,30.5786,103.9472,Chengdu,62854385,0.05293421336210435
322,39.1244,117.3461,Tianjin,14241195,0.013495655511189673
325,29.7194,106.6419,Chongqing,16205267,0.08783662651954002
348,34.4478,108.7539,Xi'an,22353249,0.04559117306547458
358,45.6233,126.2503,Harbin,12100114,0.00028820780579782014
363,23.4275,116.7625,Shantou,16909762,0.021557127066983497
373,18.3028,109.4122,Sanya,2888131,0.02842399778189358
376,25.935,119.6633,Fuzhou,10913454,0.041184513735733945
389,24.7956,118.5881,Quanzhou,9437088,0.028185912615110182
391,36.2661,120.3744,Qingdao,8200069,0.02506992364546827
394,38.9656,121.5386,Dalian,5749540,0.02184115836212033
399,21.9731,100.7631,Jinghong,1382281,0.0005722391009346564
404,29.1044,110.4431,Zhangjiajie,2982561,0.027342173254715853
412,31.1433,121.8053,Shanghai,20308438,0.07276209209060673
414,24.4014,98.5322,Mangshi,1327739,0.0009189240707630787
416,23.7389,100.025,Lincang,2848292,0.0004511082622124682
420,40.08,116.5844,Beijing,28331507,0.17001351495257794
451,21.5394,109.2939,Beihai,5621760,0.013892463871879623
453,37.7469,112.6283,Taiyuan,11233266,0.04227051477357266
457,30.2294,120.4344,Hangzhou,12817942,0.036957462408746096
458,24.9922,102.7436,Kunming,11115277,0.05382389885085212
460,26.5386,106.8008,Guiyang,7252992,0.023349029832003317
465,27.9131,120.8522,Wenzhou,9918949,0.00911405750095625
473,22.3089,113.9147,Hong Kong,36745880,0.037183016539852336
475,19.9347,110.4589,Haikou,5945540,0.12530785086519014
476,36.8572,117.2161,Jinan,24300017,0.01793990719611468
575,17.9883,102.5633,Vientiane,1706759,0.00027567752196776507
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00010859980304502957
