id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.18910461520788252
346,31.4947,120.4294,Wuxi,7494542,0.0001025920112164332
348,34.4478,108.7539,Xi'an,22353249,0.08193336326543653
372,29.2981,90.9122,Lhasa,1019683,0.07026340657240045
412,31.1433,121.8053,Shanghai,20308438,0.001000281342733567
420,40.08,116.5844,Beijing,28331507,0.01390135602042685
429,40.8514,111.8242,Hohhot,4401373,0.00011541716679015528
439,36.5286,102.0403,Xining,3472426,0.6428736190211649
458,24.9922,102.7436,Kunming,11115277,0.00011541716679015528
473,22.3089,113.9147,Hong Kong,36745880,0.0001025920112164332
