id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0005397015924629449
221,11.5467,104.8442,Phnom Penh,12169535,0.00679666747015125
315,30.5786,103.9472,Chengdu,62854385,0.03581679230921018
316,34.2294,117.2458,Xuzhou,20796535,0.00010462310581108478
322,39.1244,117.3461,Tianjin,14241195,0.005366394634234612
325,29.7194,106.6419,Chongqing,16205267,0.034752699654651595
336,46.8433,130.4653,Jiamusi,4290598,0.00016331393153953916
343,36.5167,103.6167,Lanzhou,6850245,0.0025237110181695896
348,34.4478,108.7539,Xi'an,22353249,0.04892018545489407
353,32.1506,112.2908,Xiangyang,11750932,0.0001518309189339446
354,25.0536,99.1681,Baoshan,2095138,0.00012248539123959135
358,45.6233,126.2503,Harbin,12100114,0.011009657333703977
362,31.9194,119.7783,Changzhou,6991084,0.00032152435295664786
363,23.4275,116.7625,Shantou,16909762,0.02647472355837864
371,22.7947,100.9592,Simao,2213550,0.0003968019310733793
373,18.3028,109.4122,Sanya,2888131,0.006612939268461736
375,26.6742,100.2436,Lijiang,1495973,0.0005448051025853751
376,25.935,119.6633,Fuzhou,10913454,0.00887126523400217
377,27.7917,99.6781,Deqen,748566,0.0001097266159335152
378,37.4017,121.3717,Yantai,6160152,0.0003865946811682664
379,43.9072,87.4742,Urumqi,5237049,0.0012171993361930241
389,24.7956,118.5881,Quanzhou,9437088,0.007114364305346201
391,36.2661,120.3744,Qingdao,8200069,0.006325863953321872
394,38.9656,121.5386,Dalian,5749540,0.0049045223749496145
398,28.8528,105.3933,Luzhou,9659760,0.00016331393153953916
399,21.9731,100.7631,Jinghong,1382281,0.0004057331886177587
402,30.5569,111.4797,Yichang,11664371,0.0058014731208864715
403,29.345,120.0325,Yiwu,6139309,0.00047973477437375663
404,29.1044,110.4431,Zhangjiajie,2982561,0.0004376304713733273
407,29.8267,121.4619,Ningbo,6757958,0.01765832163234323
412,31.1433,121.8053,Shanghai,20308438,0.09351637866760143
413,41.6397,123.4833,Shenyang,13195977,0.0041377122854359925
414,24.4014,98.5322,Mangshi,1327739,0.000391698420950949
416,23.7389,100.025,Lincang,2848292,0.0003202483605959142
420,40.08,116.5844,Beijing,28331507,0.05735637197258413
429,40.8514,111.8242,Hohhot,4401373,0.0006672907234852184
