id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.0507729299187795
322,39.1244,117.3461,Tianjin,14241195,0.0010695353239570167
325,29.7194,106.6419,Chongqing,16205267,0.1703567018709398
346,31.4947,120.4294,Wuxi,7494542,0.0003244660640912874
348,34.4478,108.7539,Xi'an,22353249,0.02717102831189184
354,25.0536,99.1681,Baoshan,2095138,0.00039656891285365327
362,31.9194,119.7783,Changzhou,6991084,0.00022832893240813285
371,22.7947,100.9592,Simao,2213550,0.0002643792752357688
375,26.6742,100.2436,Lijiang,1495973,0.06635931921817524
376,25.935,119.6633,Fuzhou,10913454,0.004025782406713333
378,37.4017,121.3717,Yantai,6160152,0.0001321896376178844
388,25.6503,100.3194,Dali,3767440,0.0009133114034183435
399,21.9731,100.7631,Jinghong,1382281,0.053621021646838726
407,29.8267,121.4619,Ningbo,6757958,0.0002163107093941916
412,31.1433,121.8053,Shanghai,20308438,0.007895340892887993
414,24.4014,98.5322,Mangshi,1327739,0.0020188992333100898
420,40.08,116.5844,Beijing,28331507,0.09038182402083736
430,24.5442,118.1278,Xiamen,8240158,0.0001802582034594617
438,31.9911,116.9892,Hefei,14358834,0.0011055878298917466
445,31.7419,118.8619,Nanjing,13651608,0.0006489321281825748
453,37.7469,112.6283,Taiyuan,11233266,0.0008532246145628251
455,23.3925,113.2989,Guangzhou,39293380,0.00407385097255491
456,28.1936,113.2178,Changsha,18325936,0.0011776906786541124
457,30.2294,120.4344,Hangzhou,12817942,0.07569673006495313
458,24.9922,102.7436,Kunming,11115277,0.338202240157687
461,25.2181,110.0392,Guilin,4941136,0.00031244784107734616
465,27.9131,120.8522,Wenzhou,9918949,0.00022832893240813285
469,21.2153,110.3583,Zhanjiang,11700739,0.00019227642647340297
472,28.8639,115.9022,Nanchang,10823928,0.0015622435316009185
473,22.3089,113.9147,Hong Kong,36745880,0.094251382507012
475,19.9347,110.4589,Haikou,5945540,0.0017425038981674745
477,30.7839,114.2081,Wuhan,30649978,0.00045665570170917176
481,34.5194,113.8411,Zhengzhou,32471775,0.00020429248638025033
538,13.6858,100.7489,Bangkok,23541053,0.0014420721169969752
2825,25.0778,121.2328,Taipei,10434115,0.0005167424905646904
