id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00022354136963144742
108,33.6167,73.0992,Islamabad,15343183,0.00014737296634789946
115,31.5217,74.4036,Lahore,16428675,0.00010817621170149344
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0015865274198379653
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00025828781983028054
221,11.5467,104.8442,Phnom Penh,12169535,0.001244539954933957
222,13.4106,103.8128,Siem Reap,4814927,0.0019702791333884077
223,10.5797,103.6369,Sihanoukville,1091383,0.0005328363117553455
310,41.6992,86.1303,Korla,1069639,0.012040252360552376
315,30.5786,103.9472,Chengdu,62854385,0.03390263122140974
321,42.8408,93.6708,Hami,560104,0.0021185079310696493
322,39.1244,117.3461,Tianjin,14241195,0.0031234170536775983
325,29.7194,106.6419,Chongqing,16205267,0.029743666542191845
330,27.8111,107.2461,Zunyi,7545282,0.002373030130004841
338,27.8833,109.3083,Tongren,3899266,0.0004618028964718536
343,36.5167,103.6167,Lanzhou,6850245,0.011671049687239716
344,27.7069,118.0031,Wuyishan,6414192,0.0003888866399311352
348,34.4478,108.7539,Xi'an,22353249,0.0012084241684398394
349,39.4922,109.8631,Ordos,1651796,0.0041182274404953385
351,41.2628,80.2919,Aksu,1817143,0.007237536516096763
352,37.5078,118.7894,Dongying,10565224,0.001675190843511526
353,32.1506,112.2908,Xiangyang,11750932,0.0011279766701089414
354,25.0536,99.1681,Baoshan,2095138,0.002104643574384352
355,40.5606,109.9964,Baotou,3343659,0.012300936526601828
358,45.6233,126.2503,Harbin,12100114,0.019820381628632974
360,30.3211,109.4853,Enshi,3774134,0.001733729238405005
363,23.4275,116.7625,Shantou,16909762,0.01134053026361152
370,29.9347,122.3619,Zhoushan,1484739,0.00010834739029203456
371,22.7947,100.9592,Simao,2213550,0.0002878993436484207
372,29.2981,90.9122,Lhasa,1019683,0.0070903346975297234
373,18.3028,109.4122,Sanya,2888131,0.035703285927831736
375,26.6742,100.2436,Lijiang,1495973,0.011575026169556834
376,25.935,119.6633,Fuzhou,10913454,0.02035561425579781
378,37.4017,121.3717,Yantai,6160152,0.012808953914548322
379,43.9072,87.4742,Urumqi,5237049,0.04166290534428132
383,43.9553,81.3289,Yining,1687819,0.0007991689091474291
386,37.0381,79.865,Hotan,1394729,0.00015610239665250414
387,38.27,109.7306,Yulin,3211960,0.0018710034997723784
388,25.6503,100.3194,Dali,3767440,0.0029849446346054804
389,24.7956,118.5881,Quanzhou,9437088,0.01759797658090918
391,36.2661,120.3744,Qingdao,8200069,0.012313089220620438
394,38.9656,121.5386,Dalian,5749540,0.01856214846479457
398,28.8528,105.3933,Luzhou,9659760,0.001933649841932348
399,21.9731,100.7631,Jinghong,1382281,0.002442694239802729
403,29.345,120.0325,Yiwu,6139309,0.002362760246433773
