id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.00023775762028360083
222,13.4106,103.8128,Siem Reap,4814927,0.013141372066754812
315,30.5786,103.9472,Chengdu,62854385,0.02644225212925977
322,39.1244,117.3461,Tianjin,14241195,0.02884841900975165
343,36.5167,103.6167,Lanzhou,6850245,0.02406317182394519
348,34.4478,108.7539,Xi'an,22353249,0.03405350364156605
358,45.6233,126.2503,Harbin,12100114,0.0065293042548036926
373,18.3028,109.4122,Sanya,2888131,0.027623515926202317
375,26.6742,100.2436,Lijiang,1495973,0.011096356091028391
376,25.935,119.6633,Fuzhou,10913454,0.031880580177880764
391,36.2661,120.3744,Qingdao,8200069,0.013347528908384098
394,38.9656,121.5386,Dalian,5749540,0.010237118115721531
399,21.9731,100.7631,Jinghong,1382281,0.012784735636329413
404,29.1044,110.4431,Zhangjiajie,2982561,0.0007478829279144309
407,29.8267,121.4619,Ningbo,6757958,0.0008848193645534172
412,31.1433,121.8053,Shanghai,20308438,0.09063378379477703
420,40.08,116.5844,Beijing,28331507,0.06522081122945905
430,24.5442,118.1278,Xiamen,8240158,0.01810117531553624
438,31.9911,116.9892,Hefei,14358834,0.008979109880176271
440,38.2806,114.6972,Shijiazhuang,24520869,0.02412035399184606
445,31.7419,118.8619,Nanjing,13651608,0.07524725830007427
453,37.7469,112.6283,Taiyuan,11233266,0.011316056084814808
455,23.3925,113.2989,Guangzhou,39293380,0.05608369799773729
456,28.1936,113.2178,Changsha,18325936,0.037510017000906205
457,30.2294,120.4344,Hangzhou,12817942,0.02147041064338891
458,24.9922,102.7436,Kunming,11115277,0.04783140385970591
460,26.5386,106.8008,Guiyang,7252992,0.025927825028911056
461,25.2181,110.0392,Guilin,4941136,0.008809068020678313
465,27.9131,120.8522,Wenzhou,9918949,0.022137034658360567
470,22.6083,108.1725,Nanning,8261012,0.01168172119305728
472,28.8639,115.9022,Nanchang,10823928,0.04731074495919031
473,22.3089,113.9147,Hong Kong,36745880,0.06297415261558036
475,19.9347,110.4589,Haikou,5945540,0.05532076700259803
476,36.8572,117.2161,Jinan,24300017,0.02407821962030697
477,30.7839,114.2081,Wuhan,30649978,0.02072704191895149
481,34.5194,113.8411,Zhengzhou,32471775,0.02086247344052278
596,14.5086,121.0194,Manila,26922690,0.0002272240273988293
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0002016423672892291
2821,1.3592,103.9894,Singapore,4091180,0.00011586925086944329
