,source,target,value
0,Anhui,ARE,0.00022455416812337836
1,Anhui,AUS,0.0005545023579943662
2,Anhui,BGD,9.04964633466442e-05
3,Anhui,BRN,0.0001332802431664
4,Anhui,CAN,0.00013060002386918064
5,Anhui,DEU,0.00014643770727579438
6,Anhui,FRA,4.690392541914272e-05
7,Anhui,GBR,0.0001514326753757
8,Anhui,IDN,0.0007816274123573377
9,Anhui,IND,3.630486441849682e-05
10,Anhui,JPN,0.0010519564043995077
11,Anhui,KAZ,1.681591562443544e-05
12,Anhui,KHM,0.0019893971033727474
13,Anhui,KOR,0.0016373083696800469
14,Anhui,MMR,8.881288273843475e-05
15,Anhui,MYS,0.0007436786793719266
16,Anhui,NPL,0.0001256050557693
17,Anhui,NZL,9.386114687081187e-05
18,Anhui,PHL,0.0002363274577264
19,Anhui,RUS,0.0005152121728336
20,Anhui,SGP,0.000503949917733665
21,Anhui,THA,0.006368564523867757
22,Anhui,USA,0.00044881570555649136
23,Anhui,VNM,0.000783902519792132
24,Beijing,AGO,0.000267399217424
25,Beijing,ARE,0.0044882166660627
26,Beijing,ARG,0.0002416286497624
27,Beijing,AUS,0.006568461212422199
28,Beijing,AUT,0.0004564228021548
29,Beijing,AZE,0.0001203020638737
30,Beijing,BEL,0.000464894775387
31,Beijing,BGD,0.0003071584027722
32,Beijing,BLR,0.0003172853643758
33,Beijing,BRA,0.0002499035987119
34,Beijing,CAN,0.0054780193324849
35,Beijing,CHE,0.0009362913095496
36,Beijing,CHL,0.0001638834905184
37,Beijing,CIV,9.567422712253593e-05
38,Beijing,CUB,0.0001187652843978
39,Beijing,CYP,0.0001434719365365
40,Beijing,CZE,0.0005785768786827
41,Beijing,DEU,0.004100791210249101
42,Beijing,DNK,0.0006099428920003
43,Beijing,DZA,0.0010873683209855
44,Beijing,EGY,0.0008656389606512
45,Beijing,ESP,0.0013689531661932389
46,Beijing,ETH,0.0003294613700091
47,Beijing,FIN,0.0004275392749405
48,Beijing,FRA,0.0025005333872726004
49,Beijing,GBR,0.0049974415433463
50,Beijing,GEO,0.0001653020540061
51,Beijing,GHA,0.0001379552991749
52,Beijing,GIN,0.0001522985506407
53,Beijing,GRC,0.0004332135288912
54,Beijing,HUN,0.0004226137033346
55,Beijing,IDN,0.005906701338336
56,Beijing,IND,0.001504938243818577
57,Beijing,IRL,0.0003220533193926
58,Beijing,IRN,0.0006994700154049
59,Beijing,IRQ,0.0003548772967988
60,Beijing,ISL,0.0001352363881879
61,Beijing,ISR,0.0010669961676044
62,Beijing,ITA,0.0018872016960495824
63,Beijing,JOR,0.0001052889312651
64,Beijing,JPN,0.021861481908337598
65,Beijing,KAZ,0.0006398903489231
66,Beijing,KEN,0.0002064403951483
67,Beijing,KGZ,0.00011328805473
68,Beijing,KHM,0.0016991238179463
69,Beijing,KOR,0.015662241258365298
70,Beijing,KWT,0.0003487301930808
71,Beijing,LKA,0.0009265189817251
72,Beijing,MAR,0.000234575232925
73,Beijing,MDV,0.0011357570961551
74,Beijing,MEX,0.0002268519420374
75,Beijing,MMR,0.0005747152367852
76,Beijing,MNE,0.0001077714173685
77,Beijing,MNG,0.0008980689036774
78,Beijing,MNP,0.0007864752379195
79,Beijing,MUS,0.0001313747391977
80,Beijing,MYS,0.0057782031338071
81,Beijing,NGA,0.0003407704773095
82,Beijing,NLD,0.0006306696862533
83,Beijing,NOR,0.0002420226912352
84,Beijing,NPL,0.0003009718842677
85,Beijing,NZL,0.0015498594185637
86,Beijing,OMN,0.000117031487732
87,Beijing,PAK,0.0009887387438065
88,Beijing,PAN,0.0001051707223696
89,Beijing,PER,0.0001179771943595
90,Beijing,PHL,0.0026670963810846004
91,Beijing,POL,0.0003715060171779
92,Beijing,PRK,0.0002337477422857
93,Beijing,PRT,0.0003295007777028
94,Beijing,QAT,0.0003270182915994
95,Beijing,ROU,0.0001392162460735
