,cluster
AFG,2
AGO,6
ARE,9
ARG,3
AUS,9
AUT,4
AZE,6
BEL,4
BGD,8
BGR,7
BHR,0
BLR,6
BRA,9
BRN,10
BWA,3
CAN,9
CHE,4
CHL,4
CIV,5
CMR,1
COD,1
CRI,1
CUB,6
CYP,6
CZE,4
DEU,9
DNK,4
DZA,6
EGY,5
ESP,9
ETH,5
FIN,4
FJI,7
FRA,9
GBR,9
GEO,6
GHA,5
GIN,5
GRC,4
GUM,7
HUN,4
IDN,8
IND,9
IRL,4
IRN,5
IRQ,6
ISL,4
ISR,4
ITA,9
JOR,9
JPN,9
KAZ,2
KEN,5
KGZ,2
KHM,8
KOR,9
KWT,6
LAO,10
LBN,0
LKA,9
LSO,3
MAR,4
MDG,1
MDV,9
MEX,4
MMR,8
MNE,6
MNG,6
MNP,9
MOZ,1
MUS,4
MYS,8
NGA,5
NLD,4
NOR,4
NPL,8
NZL,9
OMN,5
PAK,6
PAN,5
PER,4
PHL,8
PLW,11
PNG,3
POL,4
PRK,6
PRT,4
PYF,1
QAT,4
ROU,4
RUS,10
RWA,1
SAU,5
SDN,5
SEN,1
SGP,8
SRB,4
SWE,4
TCD,6
THA,8
TJK,2
TKM,6
TLS,1
TUN,1
TUR,4
TZA,5
UGA,5
UKR,6
USA,9
UZB,6
VNM,8
ZAF,4
ZMB,6
ZWE,6
