,AFG,AGO,ARE,ARG,AUS,AUT,AZE,BEL,BGD,BGR,BHR,BLR,BRA,BRN,BWA,CAN,CHE,CHL,CIV,CMR,COD,CRI,CUB,CYP,CZE,DEU,DNK,DZA,EGY,ESP,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GIN,GRC,GUM,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LKA,LSO,MAR,MDG,MDV,MEX,MMR,MNE,MNG,MNP,MOZ,MUS,MYS,NGA,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SRB,SWE,TCD,THA,TJK,TKM,TLS,TUN,TUR,TZA,UGA,UKR,USA,UZB,VNM,ZAF,ZMB,ZWE
AFG,0.0,0.6931471805599452,0.6213814789206518,0.6931471805599454,0.6781028709626613,0.6931471805599454,0.3713320310068787,0.6931471805599454,0.6931471805599452,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599452,0.6931471805599453,0.6931471805599454,0.6931471805599454,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6866644947166783,0.6931471805599453,0.6931471805599454,0.6931471805599452,0.6931471805599454,0.6931471805599456,0.6931471805599453,0.6931471805599452,0.6931471805599454,0.68224703379794,0.41472618828964747,0.6931471805599454,0.6931471805599454,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599454,0.6931471805599454,0.6931471805599453,0.6387766881438341,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599454,0.693147180559945,0.6890328752477337,0.08569160359237665,0.6931471805599454,0.16780466099830538,0.6931471805599456,0.6908281903929212,0.6931471805599452,0.6931471805599452,0.6931471805599454,0.693147180559945,0.6931471805599453,0.6931471805599452,0.6931471805599452,0.6931471805599454,0.6931471805599454,0.693147180559945,0.6931471805599453,0.6931471805599454,0.6931471805599454,0.6931471805599453,0.6931471805599452,0.6894991706830813,0.6931471805599455,0.6931471805599454,0.6931471805599454,0.6931471805599454,0.6931471805599456,0.6931471805599453,0.5214387446546798,0.6931471805599453,0.6931471805599454,0.6931471805599452,0.6931471805599452,0.6931471805599454,0.6931471805599454,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599454,0.6691626786469029,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.69027368552923,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6835915207417402,0.0,0.48913603141730916,0.6931471805599453,0.6931471805599454,0.6599425275228663,0.6931471805599452,0.6931471805599454,0.6931471805599454,0.6903567329464093,0.37049428960594766,0.6906285533172356,0.6931471805599453,0.6931471805599454,0.6931471805599453
AGO,0.6931471805599452,0.0,0.19932329076222044,0.21743612098327803,0.2921218420439755,0.09941010445710674,0.20534752981064286,0.14795726911504103,0.3075172924693059,0.3886272961531135,0.306336273394032,0.1441646777753232,0.18023984869591736,0.5955207734724142,0.6931471805599452,0.14504677943139876,0.04508366453054524,0.04687278002790585,0.133611364593764,0.5035631598395776,0.5035631598395776,0.5035631598395776,0.1441646777753232,0.1441646777753232,0.15438534528459424,0.11638535826661833,0.0835815574714951,0.05296818973205175,0.0975089506758755,0.22742210509564575,0.089538185605603,0.19179270841807883,0.417231984642077,0.23920966525052667,0.18715280987689908,0.26691625782414885,0.06212962287037538,0.11970487755654902,0.061213407859318725,0.42272236320015655,0.1170236792714956,0.32237746719435023,0.1986971547983314,0.08781168594171684,0.076825551838974,0.0913440047710421,0.06654777308916426,0.08036456541089354,0.35072843696428313,0.2253150649642106,0.2427965805764163,0.46875542768644285,0.12530398598184966,0.49210687429224076,0.4621207927267259,0.3207197235167101,0.09339672243871,0.672205370904952,0.3664666527085838,0.16563322580267625,0.6931471805599452,0.09762659359766435,0.5048610701212296,0.16576536160362676,0.0649289121419303,0.4282657399833645,0.1441646777753232,0.24027356792921073,0.18189987634828753,0.5035631598395776,0.07519905132694349,0.349758752817819,0.1555855003039992,0.14768737513764152,0.05700901338124542,0.38757168028103006,0.2287804684212047,0.1259058578162222,0.16620469736535837,0.1616006979107114,0.06363744190318266,0.3600100326584106,0.6931471805599453,0.6931471805599452,0.04911128151946986,0.16247146156841097,0.06309522638901766,0.5035631598395776,0.26201525311759255,0.08166453997143663,0.3968516440717571,0.5035631598395776,0.14711441221338917,0.03146858907381955,0.5035631598395776,0.36102297844256914,0.053172414403714896,0.05901117216651608,0.1441646777753232,0.4023562698252432,0.6931471805599452,0.17874046988210712,0.5035631598395776,0.5464883842229763,0.03661428687385326,0.053115261166235106,0.19791477358968157,0.025328389867358636,0.14260281197814972,0.17849974322941353,0.3711052545282014,0.14245697526589685,0.15144888921630928,0.10293875836730115
ARE,0.6213814789206518,0.19932329076222044,0.0,0.30779820741065667,0.04900408580381965,0.15384660138018091,0.2966067623006299,0.1600037091827622,0.16424556980058558,0.4688561525112791,0.3946196821567849,0.3375564294663056,0.1762276228065982,0.47358789826628445,0.6545539892878003,0.046969570720348575,0.1769742325107,0.21206840391205328,0.3041672085050864,0.5559484637559271,0.5559484637559271,0.5559484637559271,0.3375564294663056,0.3375564294663056,0.1514554026876076,0.07531647665952113,0.16780382068291066,0.17299681610207385,0.20394729019025837,0.13348633855505065,0.19475532421743091,0.17789356302627768,0.4600111871762218,0.05321332121724209,0.04540143572311539,0.2451847137560006,0.23108473826116782,0.2969793484455008,0.1449873945111957,0.47315049766717365,0.14849871787703695,0.09454916666314839,0.08830310346130066,0.22790341769759714,0.15599088722180987,0.2864724734976589,0.2398117264681654,0.11884125824600567,0.18023612443616877,0.2197484086327539,0.06725388624405237,0.4076451165618473,0.18805276232559187,0.3967800418172698,0.16910221946427617,0.09707822339391603,0.2858303459038447,0.5816212747474754,0.3440302684315397,0.07376976361383836,0.6545539892878003,0.13903085305384555,0.5480096637966139,0.05921422301751589,0.20911066294904557,0.14843707251324467,0.3375564294663056,0.35834278455687296,0.14714351728467556,0.5559484637559271,0.22766683911910346,0.08861500119104937,0.29092618019462835,0.12431888919828316,0.23568928517701537,0.17299692308635217,0.042195487555405364,0.30013892331330516,0.111774238290403,0.3194515512751792,0.24622921305889212,0.10435937009692031,0.6689831218740607,0.6405067452040174,0.15066868408698153,0.33743941687912504,0.148196740756676,0.5559484637559271,0.13897100220551728,0.24910295619339196,0.2710751144221799,0.5559484637559271,0.30837665929284075,0.2143411635636141,0.5559484637559271,0.09776278240396685,0.1573451745972676,0.17030348212643265,0.3375564294663056,0.088242324648371,0.6213814789206518,0.31561813691708385,0.5559484637559271,0.45570744819067643,0.1447568789699465,0.22699725859597542,0.340328943438889,0.22315598984201834,0.03256686498830774,0.289819150415908,0.09342120110568164,0.12848999960569651,0.2681504574877305,0.2890638251765876
ARG,0.6931471805599454,0.21743612098327803,0.30779820741065667,0.0,0.34883923643820736,0.24949170490795325,0.41726646161942416,0.24544188115969168,0.42765912960532204,0.4378721393982429,0.4790684556359597,0.29508644344904145,0.26970388434252834,0.6006312144736259,0.24922073851679472,0.23207047922005342,0.20028143668931486,0.24505850608586366,0.38176636632264205,0.6931471805599454,0.6931471805599454,0.6931471805599454,0.29508644344904145,0.29508644344904145,0.2941930262203545,0.2315019635178004,0.18563565143936023,0.2579816790928866,0.3163651472582285,0.27526606529403974,0.2991356879172038,0.31688428328371687,0.4488227216283309,0.3011327681354874,0.269673543161713,0.4235978819730688,0.301415566323717,0.3677799950407665,0.1980401832728904,0.44739697101751785,0.18338667109734375,0.3577925205625454,0.29966489865961843,0.10496107669002797,0.2985594680665664,0.32210342116633484,0.19166164424922605,0.22570364598078174,0.3724880824135459,0.405020117791981,0.29314046987214404,0.529890528628763,0.31181171511906647,0.5051807117117908,0.4894502847422775,0.3762001420217751,0.3313727893799461,0.6891357666371254,0.5365506521339269,0.3071858761993742,0.24922073851679472,0.28739429191690724,0.6861361656747325,0.291022229318189,0.19275818500486586,0.48977172112449585,0.29508644344904145,0.3521802076031577,0.3293127558382849,0.6931471805599454,0.25045940794995514,0.3918919259550917,0.3873450712384653,0.20880908042501223,0.18633173923999036,0.4804714065377489,0.3183438467823898,0.3741793346664558,0.3472796191278267,0.40731632818162844,0.19580618238866365,0.2590960981139676,0.6710322536333009,0.2618332842842438,0.2443289910187998,0.30668835276827844,0.2089566556077156,0.6931471805599454,0.3946009951585463,0.20107047635734654,0.4536721979505931,0.6931471805599454,0.39144185184919245,0.2718474426442068,0.6931471805599454,0.3735949021484608,0.2339335942737224,0.21507315449870257,0.29508644344904145,0.461969108933046,0.6931471805599454,0.3170517611919901,0.6931471805599454,0.6931471805599454,0.2042360608272018,0.2945714860242479,0.43812671819203475,0.21886049818583508,0.2253957268658573,0.35507696286367463,0.43934201646512805,0.14755755094741208,0.38160094097503783,0.3480001077530622
AUS,0.6781028709626613,0.2921218420439755,0.04900408580381965,0.34883923643820736,0.0,0.2163059810056578,0.4028602632603664,0.21190041876890087,0.14469575394309953,0.47772772545643005,0.39256776793392034,0.4532856576198756,0.21716309174430748,0.39829363141859053,0.6206197390994828,0.047794117711279505,0.25344171878919575,0.2761366759032775,0.3825624039516511,0.5465928908877646,0.5465928908877646,0.5465928908877646,0.4532856576198756,0.4532856576198756,0.2067361713051148,0.11250407981041155,0.24114880157685503,0.26787614967997686,0.27450130960342367,0.1675014339515859,0.2644554027944981,0.23279072606444773,0.45692661854193495,0.06440875375371036,0.04840498817463734,0.3411559045501762,0.29580561629916247,0.3806534768870349,0.21750764921423604,0.4720904887360884,0.2031912249930783,0.030688678586768603,0.09898292882157644,0.3005011337092771,0.21940298042102935,0.3885884655929295,0.32628566539555726,0.1931376322321161,0.1895677256231587,0.25345991680865865,0.04526017803913174,0.48757875824718844,0.25420407710927906,0.43152432198296875,0.08552818490996428,0.043203453418195537,0.383980210189377,0.4977288972963194,0.3410225800784097,0.1097784239777595,0.6206197390994828,0.20479721932508532,0.5361457269698608,0.10686663432197063,0.26301067390873323,0.12978951689755513,0.4532856576198756,0.39213215682874436,0.19309535620893925,0.5465928908877646,0.2852973625329418,0.03885928283067974,0.3392884831716998,0.16481053861772388,0.3269332295148424,0.12866129709668872,0.016479324505849213,0.3813830274444068,0.16815834340464697,0.38847480320250405,0.3345809292925588,0.07258459436615139,0.6567350632120439,0.6020835750528175,0.2272159823581501,0.44481718709705853,0.2218135224942146,0.5465928908877646,0.21900257630414988,0.3294255190962907,0.23077394708622334,0.5465928908877646,0.38167936727173646,0.2902867835898788,0.5465928908877646,0.03461463433609824,0.2330977559699714,0.2415140109530718,0.4532856576198756,0.03794935628521623,0.6781028709626613,0.45390185124421545,0.5465928908877646,0.44766452496796805,0.2256731137044703,0.2962486251681573,0.3984461975219904,0.32818947819011823,0.054324759014027446,0.4211265261748669,0.05431225396007511,0.16815387125499592,0.36043864058770514,0.3804374959084975
AUT,0.6931471805599454,0.09941010445710674,0.15384660138018091,0.24949170490795325,0.2163059810056578,0.0,0.32680768137064153,0.020226453080945506,0.23434745966823045,0.3391953983539229,0.3227252095316948,0.2608673278213164,0.05751157184772371,0.4696184710813647,0.6931471805599454,0.1332956000579706,0.07674145061648652,0.10026556066554893,0.2792295005237362,0.5955121738401947,0.5955121738401947,0.5955121738401947,0.2608673278213164,0.2608673278213164,0.13281533037018822,0.07730341604347601,0.11719383975208264,0.07107368775489986,0.187752330780663,0.07265824771400209,0.165149437169279,0.20059309119800472,0.33574981506691204,0.1206835188530655,0.14895635717102285,0.23222629762442182,0.16943192889571068,0.2668444525977727,0.025929284127404806,0.3287199565659915,0.032619285035042855,0.2428607892497281,0.09903597228147532,0.12090202737475719,0.11529495547829582,0.23487243445231354,0.09828243775095502,0.052132133401375125,0.15420418188421547,0.12842482784740428,0.13923818457755566,0.4675820972801925,0.21957194172351846,0.5131641148602,0.39947848530453856,0.21009165419418618,0.23948335253578978,0.6706067200295425,0.2663535760809361,0.12107205705877733,0.6931471805599454,0.05299604452808748,0.5816351090357568,0.10376963386968518,0.10914536736971958,0.3293379476691607,0.2608673278213164,0.32208063874026926,0.06391247147790202,0.5955121738401947,0.1054633153280129,0.2689110131958432,0.26635387796698295,0.04157958013785823,0.09585762817171606,0.3105081705180748,0.18412742187803932,0.2724313282115791,0.15322592531407153,0.3031474110036636,0.10729742283943833,0.2799632110282464,0.6215957224576927,0.6650565656827627,0.031184795050461123,0.26454461441003685,0.018166563919068235,0.5955121738401947,0.23466997272209578,0.10528178364760143,0.3721328635916912,0.5955121738401947,0.2865547129777446,0.14307835025511562,0.5955121738401947,0.2553429042429394,0.0237644832063304,0.026345573555869084,0.2608673278213164,0.3079249197363967,0.6931471805599454,0.28553068007704807,0.5955121738401947,0.42003519956193514,0.0649497205803804,0.16523312588952255,0.3333471334167186,0.12740769152875253,0.10742850885449506,0.28979628197329177,0.26627999899354604,0.07736880039494709,0.2869775023422312,0.25075354627670055
AZE,0.3713320310068787,0.20534752981064286,0.2966067623006299,0.41726646161942416,0.4028602632603664,0.32680768137064153,0.0,0.3640533684936038,0.33861616831889974,0.6931471805599453,0.44507519882976065,0.2547027181105025,0.3598455032543071,0.6931471805599452,0.6931471805599453,0.3206973857797377,0.2909332692701052,0.2700909733095753,0.10073157903319074,0.33726074192600397,0.33726074192600397,0.33726074192600397,0.2547027181105025,0.2547027181105025,0.3430500221113142,0.3452383793402034,0.3091754066378576,0.20713415871984142,0.19955626816923266,0.4238194866093026,0.2316900063039029,0.3807595377383439,0.6931471805599454,0.39873061700365886,0.359685127855351,0.12866037994295554,0.16402774875513315,0.10091372492579553,0.27866888782854615,0.6931471805599454,0.3122373197972115,0.4125663135291333,0.34439442509399876,0.3489815115907473,0.16028604793308365,0.13545208015068688,0.3601883108273165,0.26730160852826756,0.48363208742544117,0.29145146173963443,0.43095747255026806,0.1967338470575426,0.20441464588025848,0.25689425205122474,0.47985942255448055,0.4612113372987183,0.12168562124399418,0.6663750294101347,0.4375228250236738,0.3001564061347939,0.6931471805599453,0.26661806797137255,0.34034418183295434,0.32076224920593743,0.2994667799903472,0.4605539763306301,0.2547027181105025,0.3251428269778873,0.3485591454430128,0.33726074192600397,0.32476928159142426,0.41620366211181725,0.15698884234310184,0.3470079007555258,0.3412308285272605,0.4252113541319327,0.3740896012363768,0.10046522997656626,0.15095152317401772,0.10656391023540879,0.3633871572705497,0.46412951212908116,0.6931471805599454,0.6931471805599454,0.23853757401060594,0.26800052362042237,0.2904113350381774,0.33726074192600397,0.35993967406089755,0.3858253597221535,0.4419490406451385,0.33726074192600397,0.10340291732583928,0.15806702252653193,0.33726074192600397,0.4568611641161122,0.2868922234088904,0.3143784550405939,0.2547027181105025,0.4710050516240658,0.3713320310068787,0.1542686073873123,0.33726074192600397,0.43614552605857493,0.18544075702850127,0.1547872991268162,0.12066013310450663,0.21747646036703594,0.33220345287587016,0.05646648632619922,0.43791711392528354,0.3228932535535165,0.13967297446065863,0.10738433390216406
BEL,0.6931471805599454,0.14795726911504103,0.1600037091827622,0.24544188115969168,0.21190041876890087,0.020226453080945506,0.3640533684936038,0.0,0.22153886224489217,0.35486329842153697,0.3454983993526788,0.308289213136703,0.022105693869774123,0.446159029816682,0.6499309905613659,0.15186805646701296,0.11955816014783682,0.1432459486647346,0.323298835598109,0.6097712949476477,0.6097712949476477,0.6097712949476477,0.308289213136703,0.308289213136703,0.15392185178293483,0.10299132897986851,0.14891801722458275,0.09540493616759815,0.22833069911041237,0.036741264982283806,0.20389696078947583,0.23497074432440357,0.3622355553313028,0.09810603359589698,0.1624257509673228,0.22860618513304987,0.21106151055043965,0.312535873738206,0.031603139085743415,0.3627440649799365,0.016150932044445288,0.22764721839431568,0.08624251262726146,0.14992327574006215,0.14511848488491563,0.2846710746723754,0.1413485097954963,0.067189994873321,0.09255483084506033,0.10539993145231663,0.1455573703030415,0.47700535112720144,0.24737515822247125,0.5173279906379016,0.38240982002373736,0.20555947338512803,0.2887265882497445,0.6721234237804292,0.24051648626293054,0.12582477668152325,0.6499309905613659,0.06657363491710355,0.5968194473893955,0.1085433617316578,0.13433817893791788,0.30451066306134433,0.308289213136703,0.36020179676726927,0.045804576757860316,0.6097712949476477,0.14545575319371795,0.25139982960946483,0.3017874342083293,0.03156410667102949,0.14267303929974795,0.2995634847985631,0.1949417512437801,0.31739006919706303,0.16833907834074502,0.3441218410056943,0.14937143480509807,0.258538273298899,0.6494214658959203,0.6255437956044296,0.055093928454589935,0.3193533461080983,0.030434026384181134,0.6097712949476477,0.2437130223217132,0.14574934800969097,0.371183378792586,0.6097712949476477,0.329300997501786,0.18813702830461865,0.6097712949476477,0.2358743523471829,0.045400493022900834,0.06125949467319147,0.308289213136703,0.2956451359394765,0.6931471805599454,0.32924073333570236,0.6097712949476477,0.36197972079264296,0.09546658195025204,0.2081934432854773,0.3705254902661812,0.17718542419682692,0.12001821353973452,0.33132936616953335,0.24961630151807856,0.0714923531779641,0.3296647235295782,0.29855249055767863
BGD,0.6931471805599452,0.3075172924693059,0.16424556980058558,0.42765912960532204,0.14469575394309953,0.23434745966823045,0.33861616831889974,0.22153886224489217,0.0,0.5443302315602778,0.32083193012000355,0.4992779124955298,0.1919674418436954,0.4631937010816043,0.6452896634392837,0.17493779813239207,0.31134848615556576,0.28307075265195625,0.2853909288482317,0.34690461403156947,0.34690461403156947,0.34690461403156947,0.4992779124955298,0.4992779124955298,0.3088224076058803,0.21088496910022458,0.30780928581771727,0.25778702452150637,0.22728723667327988,0.21642503967863846,0.23928717377532327,0.3414433696726915,0.5326689287251585,0.1617241203979094,0.2175125585121016,0.2993275150386645,0.22509940660971473,0.2954400087102289,0.23097146861148765,0.5472056772142471,0.21001528041771733,0.129756822931812,0.09013299068325509,0.39044870445841706,0.17257409316264316,0.3619850384094647,0.4135623523265839,0.20649551084395057,0.23547082363943583,0.14394035183695464,0.17394571913680323,0.5231015551209655,0.17499761321739737,0.520250208353306,0.15533777716715713,0.18484334096201094,0.34180032906519053,0.5506385940003589,0.2060090356986779,0.11821869034690469,0.6452896634392837,0.17923040314051475,0.3449708818902548,0.15847932527086117,0.28604440094606454,0.15083045754841828,0.4992779124955298,0.507905043842861,0.20107662263127146,0.34690461403156947,0.31304413524173325,0.1397599472132769,0.21998182792281828,0.17746725247156192,0.41277317722378726,0.13621445022192935,0.14606345024297207,0.290475135512688,0.1661582656665459,0.2732867758566362,0.41671341805003514,0.1907614938061779,0.680338648303568,0.6389947974098815,0.2251400814505542,0.49019713677607224,0.24348947429548917,0.34690461403156947,0.316316571696297,0.416155074203729,0.38003756533587296,0.34690461403156947,0.2772569638860578,0.24138269638297927,0.34690461403156947,0.15759685941858947,0.24803622273313097,0.2884141693055966,0.4992779124955298,0.13556390204700586,0.6931471805599452,0.5074585113295944,0.34690461403156947,0.25759579927380827,0.22354232765520754,0.22927233379443623,0.2660570572253007,0.3676488992237146,0.17861965459622642,0.43793470453172145,0.1045915191795852,0.19751304628453026,0.30163275426953007,0.31585691657523607
BGR,0.6931471805599453,0.3886272961531135,0.4688561525112791,0.4378721393982429,0.47772772545643005,0.3391953983539229,0.6931471805599453,0.35486329842153697,0.5443302315602778,0.0,0.184153252104589,0.6931471805599453,0.3597694743390861,0.53596836532474,0.6931471805599453,0.42381776516668346,0.3185787370951809,0.23058153188584896,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.42902449347065186,0.3178901080625941,0.36263585715551294,0.5239200818456521,0.43547441142118903,0.36389502794829287,0.3646276572755305,0.40191692432871073,0.08996132903898413,0.4510984925914332,0.4171594423297511,0.6931471805599453,0.4256560814566137,0.6931471805599454,0.35242176444563955,0.10669596668539799,0.41250775471697254,0.5286747642491649,0.38048550041824747,0.3444103227676202,0.414590118123249,0.6931471805599453,0.2499910310380587,0.40215375003445886,0.4881557215375478,0.4789313410024749,0.3547639989811784,0.6931471805599454,0.48926028632589325,0.6931471805599455,0.601763595694299,0.4612416236395531,0.6931471805599452,0.6931471805599452,0.3538820117533288,0.42378572852494334,0.6931471805599453,0.35540235994039127,0.6931471805599452,0.44561425127104237,0.2145191600359383,0.5868811294629825,0.6931471805599453,0.6931471805599454,0.4116021173357163,0.6931471805599453,0.17573044344605698,0.5351451687671092,0.5510302454520396,0.35940610380371973,0.2921927902873926,0.5879165416930223,0.42412616744452536,0.6931471805599453,0.5379426276642649,0.6931471805599453,0.23030529678189704,0.4937813145534753,0.6931471805599452,0.6931471805599454,0.3971709054367545,0.6931471805599453,0.33729818166863923,0.6931471805599453,0.5485784967419282,0.19757221514652096,0.6273753793248396,0.6931471805599453,0.6931471805599454,0.4298253176009659,0.6931471805599453,0.5142410019274657,0.2981354919194058,0.3058396811110152,0.6931471805599453,0.5517045929692497,0.6931471805599453,0.6931471805599454,0.6931471805599453,0.6931471805599454,0.4052134928012363,0.444374101199035,0.6931471805599454,0.5019369195376584,0.386699991892008,0.6931471805599453,0.5404927854275741,0.4333456622037143,0.6931471805599452,0.6931471805599453
