province,pop_city_airport,airport,traffic
Xinjiang,5802370,Karamay,590497.0
Xinjiang,5237049,Urumqi,23027788.0
Xinjiang,3476362,Kashi,2060100.0
Tibet,1019883,Lhasa,4353948.0
Tibet,533212,Xigaze,81349.0
Tibet,458789,Qamdo,325065.0
Qinghai,187051,Golmud,183683.0
Qinghai,353799,Yushu,302796.0
Qinghai,3472426,Xining,6339622.0
Gansu,8609117,Tianshui,179691.0
Gansu,6850245,Lanzhou,13858151.0
Gansu,2050162,Jinchang,174000.0
Ningxia,5702804,Guyuan,226235.0
Ningxia,2009788,Zhongwei,243519.0
Ningxia,3423935,Yinchuan,8944837.0
Shaanxi,3211960,Yulin,2090209.0
Shaanxi,3357246,Yan'an,386548.0
Shaanxi,22353249,Xi'an,44653311.0
Sichuan,52581734,Yibin,974810.0
Sichuan,62854385,Chengdu,52950529.0
Sichuan,12341109,Nanchong,942932.0
Yunnan,11115277,Kunming,47088140.0
Yunnan,7135359,Zhaotong,346579.0
Yunnan,5444951,Wenshan,159749.0
Chongqing,6879185,Wanzhou,870042.0
Chongqing,3949506,Qianjiang,409902.0
Chongqing,16205267,Chongqing,41595887.0
Guizhou,7545282,Zunyi,3039050.0
Guizhou,7252992,Guiyang,20094681.0
Guizhou,7357766,Xingyi,1120857.0
Hainan,5945540,Haikou,24123582.0
Hainan,2888131,Sanya,20039035.0
Guangdong,39293380,Guangzhou,69720403.0
Guangdong,16909762,Shantou,6493930.0
Hong Kong,36745880,Hong Kong,74359829.0
Guangdong,11700739,Zhanjiang,2559507.0
Guangxi,8005244,Liuzhou,1347142.0
Guangxi,11705705,Nanning,15091614.0
Guangxi,8261012,Wuzhou,27475.0
Hunan,10758043,Yongzhou,250102.0
Hunan,18814432,Changde,726357.0
Hunan,18325936,Changsha,25266251.0
Henan,12735325,Nanyang,907505.0
Henan,11740472,Luoyang,1313764.0
Henan,32471775,Zhengzhou,27334730.0
Beijing,28331507,Beijing,107496030.0
Tianjin,14241195,Tianjin,23591412.0
Hebei,26271177,Handan,763938.0
Hebei,24520869,Shijiazhuang,11332518.0
Hebei,9266992,Tangshan,574333.0
Shanxi,12627248,Yuncheng,2052654.0
Shanxi,11233266,Taiyuan,13588423.0
Shanxi,8931656,Changzhi,690257.0
Inner Mongolia,4930093,Tongliao,983058.0
Inner Mongolia,44401373,Hohhot,12159175.0
Inner Mongolia,3343659,Baotou,2032157.0
Liaoning,13195977,Shenyang,19027398.0
Liaoning,8750351,Anshan,260922.0
Liaoning,5749540,Dalian,18758171.0
Jilin,16217434,Changchun,12969503.0
Jilin,3207170,Baishan,549691.0
Jilin,1789684,Yanji,1513262.0
Heilongjiang,12100114,Harbin,20431432.0
Heilongjiang,6192883,Daqing,831589.0
Heilongjiang,4290598,Jiamusi,865076.0
Shanghai,20308438,Shanghai,117634335.0
Jiangsu,20796535,Xuzhou,2518799.0
Jiangsu,13651608,Nanjing,28581546.0
Jiangsu,8985970,Yangzhou,2384382.0
Zhejiang,12817942,Hangzhou,38241630.0
Zhejiang,9981949,Wenzhou,11218701.0
Zhejiang,6757958,Ningbo,11718416.0
Anhui,25324297,Fuyang,799575.0
Anhui,14358834,Hefei,11110596.0
Anhui,4642340,Anqing,477634.0
Fujian,10913454,Fuzhou,14393532.0
Fujian,9437088,Quanzhou,7443161.0
Fujian,8240158,Xiamen,26553438.0
Jiangxi,10823928,Nanchang,13524159.0
Jiangxi,7056603,Ganzhou,1625224.0
Jiangxi,6299510,Yichun (Jiangxi),639834.0
Shandong,25722140,Jining,1221518.0
Shandong,24300017,Jinan,16611795.0
Shandong,12843250,Linyi,2006104.0
Taiwan,10434115,Taipei,46535180.0
Taiwan,5824361,Taichung Cingcyuangang,2638774.0
Taiwan,5680715,Kaohsiung,6973845.0
